 Time (days),LWP,stom_conduct,rsoil,rplant
201.55,-2.4926004,40.1347885,.0000000,873816064.0000000
201.56,-2.4925232,39.0833778,.0000000,873816064.0000000
201.57,-2.4923406,38.7575150,.0000000,873816064.0000000
201.58,-2.4920290,37.1698265,.0000000,873816064.0000000
201.59,-2.4917905,35.9679184,.0000000,873816064.0000000
201.60,-2.4911008,33.1410522,.0000000,873816064.0000000
201.61,-2.4908712,32.2158203,.0000000,873816064.0000000
201.62,-2.4907186,31.9321270,.0000000,873816064.0000000
201.64,-2.4906089,31.4046726,.0000000,873816064.0000000
201.65,-2.4906650,31.6409206,.0000000,873816064.0000000
201.66,-2.4909270,32.3792648,.0000000,873816064.0000000
201.67,-2.4904144,30.6168785,.0000000,873816064.0000000
201.68,-2.4904149,30.6908665,.0000000,873816064.0000000
201.69,-2.4904151,30.6338692,.0000000,873816064.0000000
201.70,-2.4918337,34.5745239,.0000000,873816064.0000000
201.71,-2.4920745,35.8005753,.0000000,873816064.0000000
201.72,-2.4923949,37.6973877,.0000000,873816064.0000000
201.73,-2.4927187,39.8548012,.0000000,873816064.0000000
201.74,-2.4933982,43.9538040,.0000000,873816064.0000000
201.75,-2.4922373,40.5637779,.0000000,873816064.0000000
201.76,-2.4894562,37.9043579,.0000000,873816064.0000000
201.77,-2.4818718,35.5275650,.0000000,873816064.0000000
201.78,-2.4930475,44.3961258,.0000000,873816064.0000000
201.79,-2.4934661,44.5163879,.0000000,873816064.0000000
201.80,-2.4361877,28.1682873,.0000000,873816064.0000000
201.81,-2.3057022,1.6514325,.0000000,873816064.0000000
201.82,-2.1837089,1.6514920,.0000000,873816064.0000000
201.83,-2.0697792,1.6507457,.0000000,873816064.0000000
201.84,-1.9636425,1.6485980,.0000000,873816064.0000000
201.85,-1.8648845,1.6458458,.0000000,873816064.0000000
201.86,-1.7729760,1.6436497,.0000000,873816064.0000000
201.88,-1.6872203,1.6426339,.0000000,873816064.0000000
201.89,-1.6068658,1.6439888,.0000000,873816064.0000000
201.90,-1.5309207,1.6492589,.0000000,873816064.0000000
201.91,-1.4590876,1.6542689,.0000000,873816064.0000000
201.92,-1.3917799,1.6552444,.0000000,873816064.0000000
201.93,-1.3283985,1.6579925,.0000000,873816064.0000000
201.94,-1.2684391,1.6630770,.0000000,873816064.0000000
201.95,-1.2127273,1.6592816,.0000000,873816064.0000000
201.96,-1.1599308,1.6618924,.0000000,873816064.0000000
201.97,-1.1097511,1.6664323,.0000000,873816064.0000000
201.98,-1.0627246,1.6669557,.0000000,873816064.0000000
201.99,-1.0191031,1.6648276,.0000000,873816064.0000000
202.00,-.9783969,1.6654040,.0000000,873816064.0000000
202.01,-.9400941,1.6670176,.0000000,873816064.0000000
202.02,-.9032044,1.6766019,.0000000,873816064.0000000
202.03,-.8680359,1.6815227,.0000000,873816064.0000000
202.04,-.8350418,1.6813469,.0000000,873816064.0000000
202.05,-.8042365,1.6807015,.0000000,873816064.0000000
202.06,-.7754267,1.6799964,.0000000,873816064.0000000
202.07,-.7487383,1.6776047,.0000000,873816064.0000000
202.08,-.7237281,1.6778331,.0000000,873816064.0000000
202.09,-.7001825,1.6783041,.0000000,873816064.0000000
202.10,-.6781107,1.6779492,.0000000,873816064.0000000
202.11,-.6575717,1.6771286,.0000000,873816064.0000000
202.12,-.6383625,1.6764275,.0000000,873816064.0000000
202.14,-.6207566,1.6749740,.0000000,873816064.0000000
202.15,-.6056094,1.6682959,.0000000,873816064.0000000
202.16,-.5922114,1.6655611,.0000000,873816064.0000000
202.17,-.5796228,1.6653454,.0000000,873816064.0000000
202.18,-.5678478,1.6653395,.0000000,873816064.0000000
202.19,-.5567793,1.6658689,.0000000,873816064.0000000
202.20,-.5468351,1.6644118,.0000000,873816064.0000000
202.21,-.5375332,1.6645167,.0000000,873816064.0000000
202.22,-.5345779,5.4958563,.0000000,873816064.0000000
202.23,-.5317096,9.5393705,.0000000,873816064.0000000
202.24,-.5360406,11.9407101,.0000000,873816064.0000000
202.25,-.5472443,14.7069302,.0000000,873816064.0000000
202.26,-.5627778,16.7736282,.0000000,873816064.0000000
202.27,-.7887089,119.5327988,.0000000,873816064.0000000
202.28,-1.1008308,166.7185669,.0000000,873816064.0000000
202.29,-1.4708037,198.9519958,.0000000,873816064.0000000
202.30,-1.8390452,225.3235168,.0000000,873816064.0000000
202.31,-2.2202742,246.8152313,.0000000,873816064.0000000
202.32,-2.5002565,194.3631287,.0000000,873816064.0000000
202.33,-2.4962769,63.6267738,.0000000,873816064.0000000
202.34,-2.4963608,68.0451584,.0000000,873816064.0000000
202.35,-2.4966333,70.5262527,.0000000,873816064.0000000
202.36,-2.4961154,61.9954605,.0000000,873816064.0000000
202.38,-2.4962041,64.4300919,.0000000,873816064.0000000
202.39,-2.4965496,70.3678589,.0000000,873816064.0000000
202.40,-2.4964054,63.4102020,.0000000,873816064.0000000
202.41,-2.4946847,47.5806427,.0000000,873816064.0000000
202.42,-2.4937394,42.5284386,.0000000,873816064.0000000
202.43,-2.4931560,39.8558578,.0000000,873816064.0000000
202.44,-2.4933507,39.4578247,.0000000,873816064.0000000
202.45,-2.4929469,39.2745018,.0000000,873816064.0000000
202.46,-2.4930685,39.9905663,.0000000,873816064.0000000
202.47,-2.4925163,37.3788223,.0000000,873816064.0000000
202.48,-2.4923272,36.5415726,.0000000,873816064.0000000
202.49,-2.4920008,35.0959625,.0000000,873816064.0000000
202.50,-2.4918625,34.6314545,.0000000,873816064.0000000
202.51,-2.4917121,34.0440025,.0000000,873816064.0000000
202.52,-2.4915035,33.3065758,.0000000,873816064.0000000
202.53,-2.4915006,33.4564438,.0000000,873816064.0000000
202.54,-2.4909320,31.1861687,.0000000,873816064.0000000
202.55,-2.4912202,32.2933426,.0000000,873816064.0000000
202.56,-2.4908593,31.0895500,.0000000,873816064.0000000
202.57,-2.4907396,30.6642570,.0000000,873816064.0000000
202.58,-2.4917502,34.3497314,.0000000,873816064.0000000
202.59,-2.4925947,36.3353195,.0000000,873816064.0000000
202.60,-2.4914095,32.4152222,.0000000,873816064.0000000
202.61,-2.4906363,30.1961269,.0000000,873816064.0000000
202.62,-2.4902353,28.9735279,.0000000,873816064.0000000
202.64,-2.4913292,32.6404839,.0000000,873816064.0000000
202.65,-2.4925320,37.0537453,.0000000,873816064.0000000
202.66,-2.4934716,38.8032722,.0000000,873816064.0000000
202.67,-2.4941058,43.1239929,.0000000,873816064.0000000
