"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.001164,2.154,42.87,-1.569,0.479
1.00064,1.797,54.97,-1.814,0.434
1.000979,3.577,78.09,-1.528,0.417
1.00196,2.071,55.97,-1.699,0.385
1.001284,2.261,92.38,-2.073,0.323
1.001016,2.521,104.14,-2.063,0.366
1.001325,3.016,84.49,-1.726,0.39
1.000681,1.596,57.79,-1.739,0.893
1.000733,2.45,88.59,-1.98,0.326
1.001376,1.557,97.25,-2.364,0.387
1.002706,1.46,36.79,-1.572,0.833
1.00195,3.355,98.41,-1.584,0.463
1.001142,2.143,37.03,-1.561,0.42
1.002205,1.444,69.01,-2.023,0.491
1.001213,1.898,83.72,-2.062,0.463
1.001751,2.048,83.28,-1.844,0.534
1.000841,2.517,40.19,-1.519,0.304
1.002221,1.528,83.98,-1.906,0.429
1.00192,2.466,87.84,-1.739,0.344
1.00154,1.287,50.39,-2.104,0.713
1.001382,1.872,86.68,-2.023,0.526
1.000679,1.581,61.01,-2.162,0.316
1.000604,1.76,95.72,-2.244,0.359
1.001883,1.407,61.54,-1.981,0.73
1.000885,1.305,99.99,-2.493,0.604
1.000757,2.486,84.35,-1.833,0.413
1.001503,3.427,103.77,-1.502,0.649
1.001595,1.476,66.36,-2.123,0.548
1.00107,2.595,90.46,-1.703,0.58
1.001338,2.735,91.75,-1.601,0.644
1.001954,1.873,47.96,-1.581,0.673
1.000649,1.398,100.57,-1.835,0.328
1.002452,1.365,98.29,-1.999,0.789
1.00054,2.372,92.42,-1.751,0.498
1.001037,2.692,45.88,-1.561,0.308
1.001664,1.312,89.96,-2.393,0.363
